view,adapter_dataset,execution_split,dataset,source_split,role,base_video_id,source_group_id,source_video_id,target_video_id,study_label,manipulation,relative_source_path,source_label
aggregate,FaceForensics++,test,FaceForensics++,train,development,002,002_006,002,,0,,original/002.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,006,002_006,006,,0,,original/006.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,002_006,002_006,002,006,1,DeepFakes,Deepfakes/002_006.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,006_002,002_006,006,002,1,DeepFakes,Deepfakes/006_002.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,002_006,002_006,002,006,1,Face2Face,Face2Face/002_006.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,006_002,002_006,006,002,1,Face2Face,Face2Face/006_002.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,002_006,002_006,002,006,1,FaceSwap,FaceSwap/002_006.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,006_002,002_006,006,002,1,FaceSwap,FaceSwap/006_002.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,002_006,002_006,002,006,1,NeuralTextures,NeuralTextures/002_006.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,006_002,002_006,006,002,1,NeuralTextures,NeuralTextures/006_002.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,016,016_209,016,,0,,original/016.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,209,016_209,209,,0,,original/209.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,016_209,016_209,016,209,1,DeepFakes,Deepfakes/016_209.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,209_016,016_209,209,016,1,DeepFakes,Deepfakes/209_016.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,016_209,016_209,016,209,1,Face2Face,Face2Face/016_209.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,209_016,016_209,209,016,1,Face2Face,Face2Face/209_016.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,016_209,016_209,016,209,1,FaceSwap,FaceSwap/016_209.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,209_016,016_209,209,016,1,FaceSwap,FaceSwap/209_016.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,016_209,016_209,016,209,1,NeuralTextures,NeuralTextures/016_209.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,209_016,016_209,209,016,1,NeuralTextures,NeuralTextures/209_016.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,017,017_803,017,,0,,original/017.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,803,017_803,803,,0,,original/803.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,017_803,017_803,017,803,1,DeepFakes,Deepfakes/017_803.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,803_017,017_803,803,017,1,DeepFakes,Deepfakes/803_017.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,017_803,017_803,017,803,1,Face2Face,Face2Face/017_803.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,803_017,017_803,803,017,1,Face2Face,Face2Face/803_017.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,017_803,017_803,017,803,1,FaceSwap,FaceSwap/017_803.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,803_017,017_803,803,017,1,FaceSwap,FaceSwap/803_017.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,017_803,017_803,017,803,1,NeuralTextures,NeuralTextures/017_803.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,803_017,017_803,803,017,1,NeuralTextures,NeuralTextures/803_017.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,018,018_019,018,,0,,original/018.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,019,018_019,019,,0,,original/019.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,018_019,018_019,018,019,1,DeepFakes,Deepfakes/018_019.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,019_018,018_019,019,018,1,DeepFakes,Deepfakes/019_018.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,018_019,018_019,018,019,1,Face2Face,Face2Face/018_019.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,019_018,018_019,019,018,1,Face2Face,Face2Face/019_018.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,018_019,018_019,018,019,1,FaceSwap,FaceSwap/018_019.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,019_018,018_019,019,018,1,FaceSwap,FaceSwap/019_018.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,018_019,018_019,018,019,1,NeuralTextures,NeuralTextures/018_019.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,019_018,018_019,019,018,1,NeuralTextures,NeuralTextures/019_018.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,020,020_344,020,,0,,original/020.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,344,020_344,344,,0,,original/344.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,020_344,020_344,020,344,1,DeepFakes,Deepfakes/020_344.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,344_020,020_344,344,020,1,DeepFakes,Deepfakes/344_020.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,020_344,020_344,020,344,1,Face2Face,Face2Face/020_344.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,344_020,020_344,344,020,1,Face2Face,Face2Face/344_020.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,020_344,020_344,020,344,1,FaceSwap,FaceSwap/020_344.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,344_020,020_344,344,020,1,FaceSwap,FaceSwap/344_020.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,020_344,020_344,020,344,1,NeuralTextures,NeuralTextures/020_344.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,344_020,020_344,344,020,1,NeuralTextures,NeuralTextures/344_020.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,030,030_193,030,,0,,original/030.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,193,030_193,193,,0,,original/193.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,030_193,030_193,030,193,1,DeepFakes,Deepfakes/030_193.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,193_030,030_193,193,030,1,DeepFakes,Deepfakes/193_030.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,030_193,030_193,030,193,1,Face2Face,Face2Face/030_193.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,193_030,030_193,193,030,1,Face2Face,Face2Face/193_030.mp4,
aggregate,FaceForensics++,test,FaceForensics++,train,development,030_193,030_193,030,193,1,FaceSwap,FaceSwap/030_193.mp4,
