dataset,source_split,role,base_video_id,source_group_id,source_video_id,target_video_id,study_label,manipulation,relative_source_path,source_label
Celeb-DF-v2,test,external_evaluation,00011,00011,00011,,0,,YouTube-real/00011.mp4,1
Celeb-DF-v2,test,external_evaluation,00021,00021,00021,,0,,YouTube-real/00021.mp4,1
Celeb-DF-v2,test,external_evaluation,00023,00023,00023,,0,,YouTube-real/00023.mp4,1
Celeb-DF-v2,test,external_evaluation,00024,00024,00024,,0,,YouTube-real/00024.mp4,1
Celeb-DF-v2,test,external_evaluation,00036,00036,00036,,0,,YouTube-real/00036.mp4,1
Celeb-DF-v2,test,external_evaluation,00047,00047,00047,,0,,YouTube-real/00047.mp4,1
Celeb-DF-v2,test,external_evaluation,00048,00048,00048,,0,,YouTube-real/00048.mp4,1
Celeb-DF-v2,test,external_evaluation,00061,00061,00061,,0,,YouTube-real/00061.mp4,1
Celeb-DF-v2,test,external_evaluation,00063,00063,00063,,0,,YouTube-real/00063.mp4,1
Celeb-DF-v2,test,external_evaluation,00076,00076,00076,,0,,YouTube-real/00076.mp4,1
Celeb-DF-v2,test,external_evaluation,00082,00082,00082,,0,,YouTube-real/00082.mp4,1
Celeb-DF-v2,test,external_evaluation,00092,00092,00092,,0,,YouTube-real/00092.mp4,1
Celeb-DF-v2,test,external_evaluation,00095,00095,00095,,0,,YouTube-real/00095.mp4,1
Celeb-DF-v2,test,external_evaluation,00106,00106,00106,,0,,YouTube-real/00106.mp4,1
Celeb-DF-v2,test,external_evaluation,00119,00119,00119,,0,,YouTube-real/00119.mp4,1
Celeb-DF-v2,test,external_evaluation,00133,00133,00133,,0,,YouTube-real/00133.mp4,1
Celeb-DF-v2,test,external_evaluation,00138,00138,00138,,0,,YouTube-real/00138.mp4,1
Celeb-DF-v2,test,external_evaluation,00168,00168,00168,,0,,YouTube-real/00168.mp4,1
Celeb-DF-v2,test,external_evaluation,00170,00170,00170,,0,,YouTube-real/00170.mp4,1
Celeb-DF-v2,test,external_evaluation,00188,00188,00188,,0,,YouTube-real/00188.mp4,1
Celeb-DF-v2,test,external_evaluation,00193,00193,00193,,0,,YouTube-real/00193.mp4,1
Celeb-DF-v2,test,external_evaluation,00194,00194,00194,,0,,YouTube-real/00194.mp4,1
Celeb-DF-v2,test,external_evaluation,00197,00197,00197,,0,,YouTube-real/00197.mp4,1
Celeb-DF-v2,test,external_evaluation,00202,00202,00202,,0,,YouTube-real/00202.mp4,1
Celeb-DF-v2,test,external_evaluation,00207,00207,00207,,0,,YouTube-real/00207.mp4,1
Celeb-DF-v2,test,external_evaluation,00208,00208,00208,,0,,YouTube-real/00208.mp4,1
Celeb-DF-v2,test,external_evaluation,00213,00213,00213,,0,,YouTube-real/00213.mp4,1
Celeb-DF-v2,test,external_evaluation,00227,00227,00227,,0,,YouTube-real/00227.mp4,1
Celeb-DF-v2,test,external_evaluation,00236,00236,00236,,0,,YouTube-real/00236.mp4,1
Celeb-DF-v2,test,external_evaluation,00244,00244,00244,,0,,YouTube-real/00244.mp4,1
Celeb-DF-v2,test,external_evaluation,00250,00250,00250,,0,,YouTube-real/00250.mp4,1
Celeb-DF-v2,test,external_evaluation,00251,00251,00251,,0,,YouTube-real/00251.mp4,1
Celeb-DF-v2,test,external_evaluation,00252,00252,00252,,0,,YouTube-real/00252.mp4,1
Celeb-DF-v2,test,external_evaluation,00253,00253,00253,,0,,YouTube-real/00253.mp4,1
